date,suburb,address,action,price,profile,bed,url,bath,car,size,photo
31/08/2019,Dee Why,9/605-611 Pittwater Rd,Sold prior to auction,1390000,House,3,https://www.domain.com.au/9-605-pittwater-road-dee-why-nsw-2099-2015512753,2,2,291,8
31/08/2019,Dee Why,32 Tango Av,Sold prior to auction,2390000,House,4,https://www.domain.com.au/32-tango-avenue-dee-why-nsw-2099-2015508652,2,2,887,14
31/08/2019,Dulwich Hill,431/801-807 New Canterbury Rd,Sold prior to auction,1130000,Unit,3,https://www.domain.com.au/431-801-807-new-canterbury-road-dulwich-hill-nsw-2203-2015505837,2,2,175,22
31/08/2019,Earlwood,25 Flers Av,Sold,1765000,House,3,https://www.domain.com.au/25-flers-avenue-earlwood-nsw-2206-2015504079,1,2,,7
31/08/2019,Earlwood,5/19-25 Flinders Rd,Sold,841000,Townhouse,2,https://www.domain.com.au/5-19-25-flinders-road-earlwood-nsw-2206-2015505058,1,2,,5
31/08/2019,East Gosford,4 Brougham St,Sold,1151000,House,4,https://www.domain.com.au/4-brougham-street-east-gosford-nsw-2250-2015493294,2,2,993,11
31/08/2019,Eastwood,157 North Rd,Sold prior to auction,1590000,Duplex,5,https://www.domain.com.au/157-north-road-eastwood-nsw-2122-2015503899,3,2,,5
31/08/2019,Elanora Heights,13 Morandoo Rd,Sold prior to auction,2450000,House,5,https://www.domain.com.au/13-morandoo-road-elanora-heights-nsw-2101-2015513581,4,4,828,23
31/08/2019,Enmore,27 Metropolitan Rd,Sold,1310000,House,3,https://www.domain.com.au/27-metropolitan-road-enmore-nsw-2042-2015492515,1,1,,7
31/08/2019,Epping,23 Broadway Cct,Sold,1175000,House,3,https://www.domain.com.au/23-broadway-circuit-epping-nsw-2121-2015507775,2,2,422,7
31/08/2019,Epping,111 Essex St,Sold,0,House,4,https://www.domain.com.au/111-essex-street-epping-nsw-2121-2015511213,3,3,1056,7
31/08/2019,Epping,110 Ray Rd,Sold,1620000,House,4,https://www.domain.com.au/110-ray-road-epping-nsw-2121-2015511212,2,2,999,8
31/08/2019,Epping,83 Wyralla Av,Sold,2150000,House,3,https://www.domain.com.au/83-wyralla-avenue-epping-nsw-2121-2015510207,2,2,,6
31/08/2019,Ermington,11 Coffey St,Sold,1280000,House,3,https://www.domain.com.au/11-coffey-street-ermington-nsw-2115-2015515211,1,,645,1
31/08/2019,Ermington,6 Taylor Pl,Sold,0,Semi,4,https://www.domain.com.au/6-taylor-place-ermington-nsw-2115-2015490113,2,1,2781,17
31/08/2019,Erskineville,18 Rochford St,Sold,0,Terrace,4,https://www.domain.com.au/18-rochford-street-erskineville-nsw-2043-2015513118,3,,116,26
31/08/2019,Erskineville,1A Septimus St,Sold,1890000,House,3,https://www.domain.com.au/1a-septimus-street-erskineville-nsw-2043-2015509996,1,,234,8
31/08/2019,Fairfield,16 Hemingway Cr,Sold prior to auction,610000,House,3,https://www.domain.com.au/16-hemingway-crescent-fairfield-nsw-2165-2015505906,1,2,575,8
31/08/2019,Fairfield Heights,19 Nile St,Sold prior to auction,785000,House,2,https://www.domain.com.au/19-nile-street-fairfield-heights-nsw-2165-2015511347,1,1,626,9
31/08/2019,Five Dock,5 New Jersey Rd,Sold prior to auction,0,House,3,https://www.domain.com.au/5-new-jersey-road-five-dock-nsw-2046-2015496695,2,1,3478,10
31/08/2019,Forresters Beach,14 Lewis Cr,Sold,0,House,4,https://www.domain.com.au/14-lewis-crescent-forresters-beach-nsw-2260-2015103027,2,2,746,11
31/08/2019,Frenchs Forest,30 Barnes Rd,Sold,0,House,5,https://www.domain.com.au/30-barnes-road-frenchs-forest-nsw-2086-2015512740,3,3,9474,14
31/08/2019,Frenchs Forest,24B Epping Dr,Sold,1700000,House,4,https://www.domain.com.au/24b-epping-drive-frenchs-forest-nsw-2086-2015509837,3,2,600,10
31/08/2019,Freshwater,1/73 Evans St,Sold prior to auction,0,Unit,1,https://www.domain.com.au/1-73-evans-street-freshwater-nsw-2096-2015510027,1,1,,6
31/08/2019,Freshwater,4/32 Undercliff Rd,Sold,2080000,Unit,3,https://www.domain.com.au/4-32-undercliff-road-freshwater-nsw-2096-2015509671,2,1,,19
31/08/2019,Gladesville,1/16 Monash Rd,Sold,1105000,Villa,3,https://www.domain.com.au/1-16-monash-road-gladesville-nsw-2111-2015509903,2,1,289,15
31/08/2019,Glenhaven,36 Gilbert Rd,Sold,1482000,House,4,https://www.domain.com.au/36-gilbert-road-glenhaven-nsw-2156-2015508968,3,2,962,19
31/08/2019,Granville,7A Clarke St,Sold,610000,House,3,https://www.domain.com.au/7a-clarke-street-granville-nsw-2142-2015506936,1,1,424,7
31/08/2019,Green Point,35 Bayside Dr,Sold prior to auction,1350000,House,5,https://www.domain.com.au/35-bayside-drive-green-point-nsw-2251-2015507790,2,2,4925,19
31/08/2019,Greenacre,21 Old Kent Rd,Sold,0,House,3,https://www.domain.com.au/21-old-kent-road-greenacre-nsw-2190-2015505767,1,2,1108,8
31/08/2019,Greenacre,110 Waterloo Rd,Sold,1090000,House,5,https://www.domain.com.au/110-waterloo-road-greenacre-nsw-2190-2015507283,3,2,613,8
31/08/2019,Greenacre,24 Wilbur St,Sold,1150000,House,4,https://www.domain.com.au/24-wilbur-street-greenacre-nsw-2190-2015266599,3,2,,8
31/08/2019,Hammondville,61 Walder Rd,Sold,732000,House,3,https://www.domain.com.au/61-walder-road-hammondville-nsw-2170-2015500635,1,1,841,7
31/08/2019,Harrington Park,85 Turbott Av,Sold,757000,House,4,https://www.domain.com.au/85-turbott-avenue-harrington-park-nsw-2567-2015509969,2,2,468,11
31/08/2019,Holsworthy,16 Troopers Mw,Sold,895000,House,4,https://www.domain.com.au/16-troopers-mews-holsworthy-nsw-2173-2015506167,2,1,,10
31/08/2019,Horningsea Park,7 Cayley Pl,Sold,1550000,House,4,https://www.domain.com.au/7-cayley-place-horningsea-park-nsw-2171-2015509527,2,2,,13
